Title,issues,Last volume,Last number,Last year,Is active?
ABC Imagem Cardiovascular,6,39,2,2026,True
ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo),69,39,,2026,True
ARS (São Paulo),52,24,,2026,True
Acta Amazonica,220,56,,2026,True
Acta Botanica Brasilica,123,40,,2026,True
Acta Cirúrgica Brasileira,245,41,,2026,True
Acta Limnologica Brasiliensia,34,38,,2026,True
Acta Ortopédica Brasileira,154,34,4,2026,True
Acta Paulista de Enfermagem,96,39,,2026,True
Acta Scientiarum. Agronomy,51,48,,2026,True
Acta Scientiarum. Animal Sciences,36,48,,2026,True
Advances in Rheumatology,9,66,,2026,True
Advances in Weed Science,8,44,,2026,True
Afro-Ásia,6,,50,2014,False
Alea: Estudos Neolatinos,57,28,1,2026,True
Alfa: Revista de Linguística (São José do Rio Preto),31,70,,2026,True
Almanack,40,40,,2026,True
Ambiente & Sociedade,56,29,,2026,True
Ambiente Construído,60,26,,2026,True
Anais Brasileiros de Dermatologia,157,101,3,2026,True
Anais da Academia Brasileira de Ciências,139,98,2,2026,True
Anais da Escola Superior de Agricultura Luiz de Queiroz,56,48,,1991,False
Anais da Sociedade Entomológica do Brasil,15,29,4,2000,False
Anais do Museu Paulista: História e Cultura Material,46,34,,2026,True
Animal Reproduction,31,23,4,2026,True
Anuário Antropológico,4,51,,2026,True
Anuário do Instituto de Geociências,3,49,,2026,True
Archives of Clinical Psychiatry (São Paulo),122,48,6,2021,False
Archives of Endocrinology and Metabolism,67,70,4,2026,True
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,166,78,3,2026,True
Arquivos Brasileiros de Cardiologia,440,123,8,2026,True
Arquivos Brasileiros de Endocrinologia & Metabologia,122,58,9,2014,False
Arquivos Brasileiros de Oftalmologia,223,89,5,2026,True
Arquivos Internacionais de Otorrinolaringologia,7,16,1,2012,False
Arquivos de Gastroenterologia,105,63,,2026,True
Arquivos de Neuro-Psiquiatria,486,84,9,2026,True
Arquivos do Instituto Biológico,94,93,,2026,True
Audiology - Communication Research,23,31,,2026,True
Autopsy and Case Reports,8,14,,2024,False
Avaliação: Revista da Avaliação da Educação Superior (Campinas),52,31,,2026,True
BAR - Brazilian Administration Review,85,23,2,2026,True
BBR. Brazilian Business Review,51,23,,2026,True
Bakhtiniana: Revista de Estudos do Discurso,51,21,3,2026,True
Biota Neotropica,93,26,2,2026,True
Bolema: Boletim de Educação Matemática,40,40,,2026,True
Boletim de Ciências Geodésicas,59,32,,2026,True
Boletim do Instituto Oceanográfico,62,43,2,1995,False
Boletim do Instituto Paulista de Oceanografia,4,2,2,1951,False
Boletim do Instituto de Pesca,3,52,,2026,True
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,62,21,2,2026,True
BrJP,29,9,,2026,True
Bragantia,249,85,,2026,True
Brazilian Archives of Biology and Technology,124,69,,2026,True
Brazilian Dental Journal,115,37,,2026,True
Brazilian Dental Science,1,29,,2026,True
Brazilian Journal of Anesthesiology,33,76,3,2026,True
Brazilian Journal of Biology,103,86,,2026,True
Brazilian Journal of Botany,62,35,4,2012,False
Brazilian Journal of Cardiovascular Surgery,180,41,3,2026,True
